latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,persistence_count,land_cover_class,land_cover_name,label
15.00496,77.00153,313.3,0.48,0.4,2025-01-17,2012,N,VIIRS,n,2,289.87,1.15,N,2,10,50.0,Built-up,1
21.70362,83.81121,307.49,0.45,0.39,2025-03-11,2016,N,VIIRS,n,2,292.86,1.12,N,0,1,10.0,Tree cover,0
16.16609,78.68525,333.66,0.79,0.78,2025-03-08,702,N,VIIRS,l,2,304.43,6.95,D,0,1,10.0,Tree cover,0
17.70031,80.88739,357.1,0.41,0.6,2025-02-10,830,N,VIIRS,n,2,305.39,8.62,D,0,1,10.0,Tree cover,0
21.27011,83.03982,347.1,0.6,0.53,2025-02-27,812,N,VIIRS,n,2,308.61,10.99,D,0,2,40.0,Cropland,0
17.53271,78.24462,352.04,0.39,0.36,2025-03-10,805,N,VIIRS,n,2,315.5,9.54,D,0,1,30.0,Grassland,0
21.43452,82.67416,333.84,0.38,0.36,2025-01-01,741,N,VIIRS,n,2,303.75,3.37,D,0,1,40.0,Cropland,0
21.85242,83.67273,335.89,0.47,0.4,2025-03-07,722,N,VIIRS,n,2,305.81,5.29,D,0,1,10.0,Tree cover,0
21.85943,83.96545,305.53,0.55,0.43,2025-02-12,2022,N,VIIRS,n,2,291.34,1.18,N,2,50,50.0,Built-up,1
15.33284,76.28607,311.22,0.47,0.48,2025-03-25,2055,N,VIIRS,n,2,293.23,1.87,N,2,33,50.0,Built-up,1
21.91938,83.35204,327.94,0.39,0.36,2025-02-13,2004,N,VIIRS,n,2,299.0,2.57,N,2,390,50.0,Built-up,1
15.18126,76.67708,323.76,0.43,0.38,2025-03-11,2018,N,VIIRS,n,2,298.08,2.08,N,2,116,50.0,Built-up,1
21.37805,81.644,304.57,0.52,0.67,2025-01-25,2100,N,VIIRS,n,2,291.23,2.08,N,2,98,50.0,Built-up,1
15.38957,78.2244,345.76,0.42,0.45,2025-02-18,740,N,VIIRS,n,2,313.99,5.26,D,0,1,40.0,Cropland,0
22.42838,82.74773,338.53,0.51,0.41,2025-03-07,722,N,VIIRS,l,2,313.18,11.72,D,0,2,30.0,Grassland,0
21.83172,83.78498,343.91,0.38,0.36,2025-03-01,735,N,VIIRS,n,2,308.73,5.69,D,0,1,10.0,Tree cover,0
17.93159,80.39481,336.26,0.48,0.65,2025-02-15,837,N,VIIRS,n,2,305.54,3.75,D,0,2,10.0,Tree cover,0
13.97276,78.31816,331.72,0.39,0.36,2025-02-06,804,N,VIIRS,l,2,306.45,2.04,D,0,2,10.0,Tree cover,0
17.91093,80.43752,312.44,0.39,0.36,2025-03-06,2011,N,VIIRS,n,2,293.99,1.69,N,0,2,10.0,Tree cover,0
15.17999,77.10228,305.92,0.53,0.5,2025-03-25,2055,N,VIIRS,n,2,294.36,1.64,N,2,71,50.0,Built-up,1
18.86269,73.93233,307.34,0.55,0.51,2025-03-06,2011,N,VIIRS,n,2,290.73,1.14,N,0,2,30.0,Grassland,0
22.67407,82.15926,340.42,0.4,0.37,2025-03-27,747,N,VIIRS,l,2,314.01,3.04,D,0,1,10.0,Tree cover,0
21.92166,83.35238,346.13,0.33,0.55,2025-01-26,813,N,VIIRS,n,2,313.14,4.91,D,2,390,50.0,Built-up,1
20.79513,85.25224,333.5,0.44,0.46,2025-03-16,2022,N,VIIRS,n,2,289.06,7.13,N,2,87,,Unknown,1
18.28095,73.22755,334.19,0.4,0.44,2025-03-21,759,N,VIIRS,l,2,306.59,16.25,D,0,1,10.0,Tree cover,0
17.65541,76.74933,317.17,0.38,0.36,2025-03-05,2030,N,VIIRS,n,2,293.34,0.91,N,0,1,40.0,Cropland,0
16.57507,80.90157,349.29,0.38,0.36,2025-03-16,752,N,VIIRS,n,2,318.56,12.28,D,0,2,40.0,Cropland,0
22.04306,83.73253,367.0,0.42,0.45,2025-03-21,800,N,VIIRS,h,2,303.72,7.78,D,2,440,60.0,Bare/sparse vegetation,1
15.17028,76.66578,343.71,0.4,0.44,2025-02-26,830,N,VIIRS,n,2,312.36,5.72,D,2,76,50.0,Built-up,1
15.17178,76.37817,303.73,0.45,0.63,2025-03-02,1947,N,VIIRS,n,2,290.61,2.29,N,2,115,50.0,Built-up,1
23.68502,86.39222,347.91,0.41,0.45,2025-03-27,747,N,VIIRS,l,2,319.46,7.53,D,2,235,,Unknown,1
17.93927,78.09596,332.85,0.48,0.48,2025-01-28,734,N,VIIRS,l,2,307.07,5.32,D,0,1,40.0,Cropland,0
22.32153,82.59509,338.58,0.56,0.43,2025-02-17,800,N,VIIRS,n,2,305.94,6.44,D,2,61,80.0,Permanent water,1
16.55696,77.81507,334.63,0.69,0.74,2025-02-25,709,N,VIIRS,n,2,303.77,3.04,D,0,1,30.0,Grassland,0
11.83654,76.44091,336.82,0.41,0.37,2025-01-21,804,N,VIIRS,l,2,311.17,5.0,D,0,1,40.0,Cropland,0
15.64006,78.92212,339.57,0.44,0.46,2025-03-09,823,N,VIIRS,n,2,309.17,3.33,D,0,1,10.0,Tree cover,0
17.47728,77.8899,339.02,0.5,0.41,2025-01-31,818,N,VIIRS,l,2,313.12,4.86,D,0,2,40.0,Cropland,0
21.54286,81.94827,310.21,0.38,0.36,2025-03-06,2010,N,VIIRS,n,2,294.4,0.96,N,2,21,50.0,Built-up,1
13.10659,79.22401,303.86,0.36,0.57,2025-03-29,1940,N,VIIRS,n,2,293.8,0.87,N,0,2,20.0,Shrubland,0
21.18153,81.38482,314.41,0.39,0.36,2025-01-01,2010,N,VIIRS,n,2,291.04,2.77,N,3,46,50.0,Built-up,1
22.04412,83.73415,334.35,0.4,0.37,2025-02-02,2010,N,VIIRS,n,2,297.39,8.14,N,2,440,60.0,Bare/sparse vegetation,1
23.77793,86.3889,351.7,0.47,0.4,2025-03-29,710,N,VIIRS,n,2,325.72,8.51,D,2,400,,Unknown,1
23.82752,84.93239,338.62,0.54,0.42,2025-02-09,710,N,VIIRS,n,2,312.75,7.1,D,2,162,,Unknown,1
21.04787,81.56628,330.99,0.5,0.41,2025-01-07,728,N,VIIRS,n,2,301.09,3.01,D,0,1,40.0,Cropland,0
21.91995,83.35222,336.5,0.33,0.55,2025-02-11,813,N,VIIRS,n,2,306.16,4.83,D,2,390,50.0,Built-up,1
