latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,persistence_count
26.29855,74.1252,308.57,0.4,0.37,2025-03-31,2040,N,VIIRS,n,2,296.6,1.42,N,2,12
24.8426,86.12251,311.23,0.51,0.41,2025-03-27,2015,N,VIIRS,n,2,298.36,3.35,N,0,2
18.89049,75.95641,367.0,0.39,0.36,2025-03-15,812,N,VIIRS,l,2,325.61,28.29,D,0,2
20.88855,84.98356,301.6,0.55,0.51,2025-01-16,2029,N,VIIRS,n,2,288.09,1.67,N,2,119
25.82785,94.62938,344.31,0.41,0.45,2025-03-10,626,N,VIIRS,n,2,302.27,132.9,D,0,2
20.23712,82.18032,332.46,0.39,0.6,2025-03-08,703,N,VIIRS,l,2,307.04,2.87,D,0,1
22.35379,82.29285,341.47,0.55,0.51,2025-01-08,710,N,VIIRS,n,2,305.88,6.05,D,2,101
21.9283,85.21935,300.01,0.34,0.56,2025-02-06,2035,N,VIIRS,n,2,287.91,0.92,N,2,165
20.79628,85.25337,331.09,0.63,0.54,2025-03-19,656,N,VIIRS,n,2,300.61,6.76,D,2,87
20.96803,85.17475,307.56,0.52,0.42,2025-03-27,2016,N,VIIRS,n,2,297.46,2.56,N,2,273
20.98288,85.13857,316.76,0.6,0.7,2025-03-20,1907,N,VIIRS,n,2,289.51,1.53,N,2,216
22.57903,74.0157,351.67,0.33,0.55,2025-03-13,851,N,VIIRS,n,2,312.53,2.85,D,0,1
28.46527,80.64487,335.98,0.46,0.39,2025-03-28,730,N,VIIRS,n,2,309.15,1.84,D,0,1
20.55223,81.67937,334.35,0.61,0.53,2025-03-04,818,N,VIIRS,l,2,308.59,9.02,D,0,1
19.28751,79.02003,338.99,0.5,0.49,2025-02-21,825,N,VIIRS,l,2,311.18,2.29,D,0,2
21.53209,86.83223,302.49,0.53,0.42,2025-02-18,2010,N,VIIRS,n,2,291.75,0.79,N,2,26
21.19682,82.09884,342.2,0.52,0.5,2025-02-27,812,N,VIIRS,n,2,312.66,7.32,D,0,1
21.21047,82.13705,297.83,0.45,0.63,2025-01-20,2054,N,VIIRS,n,2,286.36,0.87,N,0,62
23.80592,84.84679,301.63,0.52,0.5,2025-03-08,1931,N,VIIRS,n,2,289.73,0.99,N,2,64
13.55892,76.40591,352.6,0.4,0.37,2025-02-06,804,N,VIIRS,n,2,314.57,5.14,D,0,1
23.66238,84.99915,301.2,0.4,0.44,2025-02-09,1938,N,VIIRS,n,2,284.19,0.66,N,2,41
22.79256,86.19693,312.27,0.41,0.45,2025-01-19,1932,N,VIIRS,n,2,292.04,0.96,N,3,220
19.73352,82.67685,334.88,0.44,0.38,2025-03-16,753,N,VIIRS,l,2,309.39,2.39,D,0,3
15.56247,78.23242,346.95,0.54,0.51,2025-03-17,733,N,VIIRS,l,2,317.83,8.09,D,0,4
24.80913,83.55656,353.85,0.35,0.57,2025-03-31,813,N,VIIRS,n,2,313.76,5.96,D,0,2
22.50776,92.75705,331.04,0.49,0.48,2025-03-15,632,N,VIIRS,n,2,300.97,7.15,D,0,3
18.20324,81.47788,337.12,0.38,0.36,2025-03-11,746,N,VIIRS,n,2,311.86,1.38,D,0,1
18.12398,82.37041,336.1,0.39,0.36,2025-02-23,746,N,VIIRS,l,2,309.71,2.48,D,0,2
23.77728,86.39668,300.25,0.57,0.69,2025-02-16,2047,N,VIIRS,n,2,288.98,2.63,N,2,59
25.20287,93.56189,348.36,0.49,0.4,2025-03-20,638,N,VIIRS,n,2,297.6,40.05,D,0,2
20.28764,79.68481,341.71,0.57,0.69,2025-03-08,844,N,VIIRS,n,2,306.0,7.62,D,0,1
21.79209,80.0188,299.15,0.5,0.41,2025-02-06,2035,N,VIIRS,n,2,288.65,0.35,N,0,29
25.37331,93.15594,367.0,0.71,0.75,2025-03-16,754,N,VIIRS,h,2,293.69,14.06,D,0,4
18.00045,80.46726,348.34,0.38,0.36,2025-03-16,752,N,VIIRS,n,2,314.59,3.6,D,0,2
22.54476,92.75811,322.7,0.42,0.37,2025-03-29,1937,N,VIIRS,n,2,293.55,3.3,N,0,7
19.08715,78.60678,348.38,0.38,0.36,2025-03-05,759,N,VIIRS,n,2,313.36,9.76,D,0,8
22.31215,82.52823,305.46,0.38,0.36,2025-03-06,2010,N,VIIRS,n,2,292.24,2.13,N,2,70
24.42227,73.51416,305.15,0.45,0.39,2025-03-14,2059,N,VIIRS,n,2,291.81,0.86,N,0,1
19.9163,80.64741,347.72,0.39,0.36,2025-03-16,753,N,VIIRS,n,2,312.35,3.82,D,0,1
21.02366,80.36167,335.66,0.5,0.41,2025-03-17,734,N,VIIRS,l,2,308.98,4.24,D,0,2
16.64431,78.64767,340.57,0.39,0.36,2025-03-21,758,N,VIIRS,l,2,311.84,4.57,D,0,1
21.92188,83.35149,320.28,0.6,0.53,2025-01-19,1932,N,VIIRS,n,2,294.43,3.83,N,2,390
21.98791,82.01492,302.37,0.36,0.58,2025-01-19,1932,N,VIIRS,n,2,287.65,0.74,N,0,12
15.65853,73.99078,310.36,0.43,0.62,2025-03-13,2121,N,VIIRS,n,2,292.67,0.94,N,2,87
22.56601,92.78886,309.1,0.49,0.48,2025-03-12,1956,N,VIIRS,n,2,290.36,2.69,N,0,10
18.54576,81.01255,335.13,0.41,0.45,2025-03-15,811,N,VIIRS,l,2,308.63,4.24,D,0,1
21.18389,84.97829,303.45,0.44,0.38,2025-03-06,2010,N,VIIRS,n,2,290.48,1.11,N,0,3
23.66543,86.92181,308.56,0.42,0.38,2025-03-17,2003,N,VIIRS,n,2,292.8,1.14,N,2,144
15.17668,76.65702,335.39,0.42,0.45,2025-01-06,746,N,VIIRS,n,2,304.72,3.32,D,2,187
23.73953,92.20869,344.99,0.47,0.48,2025-03-28,728,N,VIIRS,n,2,303.65,7.52,D,0,2
20.85555,83.0869,305.17,0.48,0.4,2025-03-07,1951,N,VIIRS,n,2,293.65,1.52,N,0,2
26.25906,74.09588,306.49,0.34,0.56,2025-02-14,2124,N,VIIRS,n,2,289.76,0.98,N,2,36
17.37993,73.79791,331.1,0.46,0.63,2025-02-19,902,N,VIIRS,n,2,301.04,2.35,D,0,1
23.77945,86.34687,308.59,0.51,0.66,2025-01-15,1906,N,VIIRS,n,2,285.74,1.8,N,2,199
23.74572,85.50549,305.13,0.47,0.48,2025-03-08,1931,N,VIIRS,n,2,287.97,1.38,N,2,34
21.63398,84.002,337.38,0.45,0.39,2025-02-23,747,N,VIIRS,n,2,308.45,5.15,D,0,1
18.38951,75.82607,350.48,0.42,0.37,2025-02-16,818,N,VIIRS,n,2,318.08,8.07,D,0,1
22.80111,86.08887,317.8,0.34,0.56,2025-03-14,1919,N,VIIRS,n,2,297.62,2.39,N,2,166
23.75607,85.85304,306.72,0.38,0.36,2025-01-23,1957,N,VIIRS,n,2,290.31,1.62,N,2,83
18.35513,80.11855,339.9,0.41,0.37,2025-03-27,746,N,VIIRS,n,2,311.42,3.1,D,0,1
21.87679,83.55623,300.97,0.42,0.45,2025-03-05,2028,N,VIIRS,n,2,289.76,0.9,N,2,51
21.95081,82.48833,344.88,0.53,0.42,2025-01-02,722,N,VIIRS,n,2,303.14,9.61,D,0,6
23.82539,85.50132,307.15,0.32,0.55,2025-01-05,2034,N,VIIRS,n,2,290.32,0.73,N,2,47
20.78904,85.26208,331.78,0.42,0.61,2025-01-26,812,N,VIIRS,n,2,299.86,5.36,D,2,248
13.88174,76.50698,354.52,0.47,0.64,2025-02-08,727,N,VIIRS,n,2,304.25,13.56,D,0,2
21.90883,77.18624,338.76,0.43,0.38,2025-03-31,812,N,VIIRS,l,2,311.18,3.32,D,0,2
24.31229,78.60665,347.14,0.44,0.38,2025-03-26,806,N,VIIRS,n,2,316.87,8.03,D,0,4
20.43461,80.75609,340.71,0.48,0.48,2025-03-07,722,N,VIIRS,l,2,311.46,2.56,D,0,2
20.96551,85.17318,304.83,0.57,0.69,2025-01-15,1907,N,VIIRS,n,2,288.68,2.93,N,2,273
22.4239,83.75465,334.58,0.45,0.39,2025-01-02,722,N,VIIRS,n,2,304.07,3.23,D,0,1
16.62772,74.01394,306.39,0.42,0.38,2025-03-05,2030,N,VIIRS,n,2,292.62,0.75,N,0,1
21.75749,83.8441,331.65,0.35,0.57,2025-01-30,657,N,VIIRS,n,2,299.73,3.7,D,2,171
22.00814,84.8782,312.25,0.39,0.6,2025-03-15,2041,N,VIIRS,n,2,293.38,1.79,N,0,1
23.20632,92.77074,367.0,0.41,0.61,2025-03-06,741,N,VIIRS,h,2,323.67,199.99,D,0,10
23.77815,86.38842,299.79,0.45,0.63,2025-02-27,2040,N,VIIRS,n,2,286.44,0.81,N,2,400
22.02277,83.37936,304.89,0.49,0.65,2025-03-25,2053,N,VIIRS,n,2,293.61,0.96,N,2,51
23.7567,85.85474,312.49,0.44,0.46,2025-02-04,1932,N,VIIRS,n,2,292.36,2.77,N,2,83
19.07003,81.99088,348.51,0.47,0.4,2025-03-21,759,N,VIIRS,n,2,311.92,4.99,D,0,1
20.9115,82.97462,307.32,0.42,0.38,2025-03-12,1957,N,VIIRS,n,2,297.27,2.22,N,0,1
15.78073,78.81705,342.62,0.52,0.41,2025-03-20,817,N,VIIRS,n,2,312.5,12.53,D,0,2
23.16603,82.33599,352.92,0.45,0.39,2025-03-12,729,N,VIIRS,n,2,317.38,7.26,D,2,394
20.9678,86.00475,305.65,0.4,0.44,2025-02-07,2016,N,VIIRS,n,2,292.96,1.98,N,2,101
22.36855,87.30331,300.01,0.4,0.37,2025-01-13,1944,N,VIIRS,n,2,289.41,0.71,N,2,163
21.8692,83.70545,318.25,0.41,0.37,2025-03-12,1957,N,VIIRS,n,2,292.91,1.53,N,0,2
21.69148,75.43754,354.77,0.4,0.44,2025-03-14,831,N,VIIRS,n,2,320.04,14.65,D,0,2
